pdf_filename,profile,heuristic_score,profile_group,quality_tier,resource_class,status,runtime_seconds,pipeline,pdf_backend,ocr_engine,psm,do_cell_matching,table_count,tables_with_rows,total_rows,total_columns_sum,max_columns,max_rows,empty_cell_ratio,single_column_table_count,very_small_table_count,inspection_path,run_dir
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm3,336.6591,ocr,strong,high,success,31.889,standard,,tesseract,3.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm3_not_forced,336.6581,ocr,strong,high,success,32.084,standard,,tesseract,3.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3_not_forced/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_easyocr_force_ocr,336.6525,ocr,heavy,high,success,33.205,standard,,easyocr,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm12,336.6521,ocr,heavy,high,success,33.29,standard,,tesseract,12.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm12/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm12
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm11_not_forced,336.6519,ocr,strong,high,success,33.311,standard,,tesseract,11.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm11_not_forced/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm11_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm12_not_forced,336.6501,ocr,strong,high,success,33.674,standard,,tesseract,12.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm12_not_forced/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm12_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm11,336.6445,ocr,heavy,high,success,34.81,standard,,tesseract,11.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm6,336.6318,ocr,heavy,high,success,37.335,standard,,tesseract,6.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_cuda_tesseract_force_ocr_psm6,336.6314,gpu_performance,heavy,high,success,37.411,standard,,tesseract,6.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_tesseract_force_ocr_psm6/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_tesseract_force_ocr_psm6
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm6_not_forced,336.631,ocr,strong,high,success,37.502,standard,,tesseract,6.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm6_not_forced/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm6_not_forced
