pdf_filename,profile,profile_group,quality_tier,resource_class,status,skip_reason,error_message,runtime_seconds,pipeline,pdf_backend,table_mode,do_cell_matching,ocr_engine,ocr_lang,psm,do_ocr,force_full_page_ocr,vlm_model,images_scale,generate_page_images,generate_picture_images,device_requested,device_selected,gpu_available,gpu_name,gpu_memory_total_mb,gpu_memory_before_mb,gpu_memory_after_mb,page_count,table_count,markdown_output_path,json_output_path,run_dir
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm12_not_forced,ocr,strong,high,success,,,33.674,standard,,accurate,True,tesseract,"spa,eng",12.0,True,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm12_not_forced/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm12_not_forced/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm12_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm3,ocr,heavy,high,success,,,31.323,standard,,accurate,True,tesseract,"spa,eng",3.0,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm3/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm3/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm4,ocr,heavy,high,success,,,31.508,standard,,accurate,True,tesseract,"spa,eng",4.0,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm4/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm4/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm4
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm11,ocr,heavy,high,success,,,34.81,standard,,accurate,True,tesseract,"spa,eng",11.0,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm12,ocr,heavy,high,success,,,33.29,standard,,accurate,True,tesseract,"spa,eng",12.0,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm12/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm12/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm12
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm6_cellmatch_false,cell_matching,heavy,high,success,,,38.22,standard,,accurate,False,tesseract,"spa,eng",6.0,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6_cellmatch_false/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6_cellmatch_false/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm11_cellmatch_false,cell_matching,heavy,high,success,,,33.661,standard,,accurate,False,tesseract,"spa,eng",11.0,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11_cellmatch_false/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11_cellmatch_false/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_easyocr_force_ocr_cellmatch_false,cell_matching,heavy,high,success,,,30.717,standard,,accurate,False,easyocr,"es,en",,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,5004,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_cellmatch_false/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_cellmatch_false/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_easyocr_ocr_not_forced,ocr,heavy,high,success,,,30.412,standard,,accurate,True,easyocr,"es,en",,True,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,5004,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_ocr_not_forced/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_ocr_not_forced/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_ocr_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_easyocr_force_ocr_scale3,ocr,heavy,extreme,success,,,39.171,standard,,accurate,True,easyocr,"es,en",,True,True,,3.0,True,True,auto,auto,True,Tesla T4,15360,552,5004,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_scale3/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_scale3/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_scale3
